ingredient_item_text,ingredient_positions,atc_code,atc_display,ingredient_coding_code_cas,ingredient_coding_display_cas,ingredient_coding_code_ask,found_ask_id,found_cas_code,found_cas_display,cas_quelle,action,comment,dirty_type,corrected_ingredient_text,corrected_ingredient_positions,additional_ask_id,additional_cas_code,additional_cas_display
"Aprepitant, Fosaprepitant",1,A04AD12,"Aprepitant, Fosaprepitant",,,,31323,,,BfArM BEZVO ASK #31323,wrong_split_dwh,Two substances in one field; split Aprepitant and Fosaprepitant before CAS mapping.,,,,,,
Argatroban-1-Wasser,1,B01AE03,Argatroban,,,,41075,141396-28-3,Argatroban-Monohydrat,BfArM BEZVO ASK #41075,add_name_mapping,,,,,,,
Arginin hydrochlorid,1,B05XB01,Argininhydrochlorid,,,,831,1119-34-2,Argininhydrochlorid,BfArM BEZVO ASK #00831,add_name_mapping,,,,,,,
Articain hydrochlorid,1,N01BB58,"Articain, Kombinationen",,,,10986,23964-57-0,Articainhydrochlorid,BfArM BEZVO ASK #10986,add_name_mapping,,,,,,,
Atovaquon,1,P01BB51,Proguanil und Atovaquon,,Atovaquon,26531,26531,95233-18-4,Atovaquon,USP,add_missing_cas_code,,,,,,,
"Atropinsulfat, wasserfrei",1,A03BA01,Atropin,,,,,55-48-1,"Atropinsulfat, wasserfrei",PubChem CID 5927,add_new_substance,,,,,,,
"Atropinsulfat, wasserfrei",1,V03AB44,Atropin,,,,,55-48-1,"Atropinsulfat, wasserfrei",PubChem CID 5927,add_new_substance,,,,,,,
Atropinsulfat-1-Wasser,1,A03BA01,Atropin,,,,41,5908-99-6,Atropinsulfat (Ph.Eur.),BfArM BEZVO ASK #00041,add_name_mapping,,,,,,,
Atropinsulfat-1-Wasser,1,S01FA01,Atropin,,,,41,5908-99-6,Atropinsulfat (Ph.Eur.),BfArM BEZVO ASK #00041,add_name_mapping,,,,,,,
Azithromycin-2-Wasser,1,S01AA26,Azithromycin,,,,26116,117772-70-0,Azithromycin-Dihydrat,BfArM BEZVO ASK #26116,add_name_mapping,,,,,,,
Baldrianwurzel-Trockenextrakt (3-6:1); Auszugsmittel: Ethanol 70% (V/V),1,N05CP30,Kombinationen,,,,,8057-49-6,Valeriana officinalis root extract,PubChem SID 135331255,add_new_substance,No suitable current ASK; BEZVO ASK 37281 only references legacy ASK 01038-0.,,,,,,
Beclometason dipropionat,1,R03AK08,Formoterol und Beclometason,,,,4359,5534-09-8,Beclometasondipropionat (Ph.Eur.),BfArM BEZVO ASK #04359,add_name_mapping,,,,,,,
Beclometason dipropionat,1,R03AL09,"Formoterol, Glycopyrroniumbromid und Beclometason",,,,4359,5534-09-8,Beclometasondipropionat (Ph.Eur.),BfArM BEZVO ASK #04359,add_name_mapping,,,,,,,
Beclometason dipropionat,1,R03BA01,Beclometason,,,,4359,5534-09-8,Beclometasondipropionat (Ph.Eur.),BfArM BEZVO ASK #04359,add_name_mapping,,,,,,,
Benzydamin hydrochlorid,1,R02AA56,"Cetylpyridinium, Kombinationen",,,,6165,132-69-4,Benzydaminhydrochlorid,BfArM BEZVO ASK #06165,add_name_mapping,,,,,,,
Benzydamin hydrochlorid,1,R02AX03,Benzydamin,,,,6165,132-69-4,Benzydaminhydrochlorid,BfArM BEZVO ASK #06165,add_name_mapping,,,,,,,
Benzylpenicillin-Benzathin,1,J01CE08,Benzylpenicillin-Benzathin,,,,4371,1538-09-6,Benzylpenicillin-Benzathin,BfArM BEZVO ASK #04371,check_mapping_or_join,,,,,,,
Betahistin dimesilat,1,N07CA01,Betahistin,,,,16356,54856-23-4,Betahistindimesilat,BfArM BEZVO ASK #16356,add_name_mapping,,,,,,,
Betamethason dipropionat,2,D01AC20,Imidazole/Triazole in Kombination mit Corticosteroiden,,,,10779,5593-20-4,Betamethasondipropionat (Ph.Eur.),BfArM BEZVO ASK #10779,add_name_mapping,,,,,,,
Biperiden lactat,1,N04AA02,Biperiden,,,,7081,7085-45-2,Biperidenlactat,BfArM BEZVO ASK #07081,add_name_mapping,,,,,,,
Bismut-Kalium-Salz (2:1:5)-1,2,A02BD08,"Bismutsubcitrat, Tetracyclin und Metronidazol",,,,37139,,,,wrong_split_dwh,Fragment of the bismuth complex; position 2 should be Tetracyclin hydrochlorid.,,,,,,
Bisoprolol fumarat,1,C07AB07,Bisoprolol,,,,23549,104344-23-2,Bisoprololfumarat (Ph.Eur.),BfArM BEZVO ASK #23549,add_name_mapping,,,,,,,
Blutgerinnungsfaktor IX (human),1,B02BD04,Blutgerinnungsfaktor IX,,,,6224,9001-28-9,Blutgerinnungsfaktor Ⅸ,BfArM BEZVO ASK #06224,add_name_mapping,,,,,,,
Blutgerinnungsfaktor VII (human),1,B02BD05,Blutgerinnungsfaktor VII,,,,6225,9001-25-6,Blutgerinnungsfaktor Ⅶ,BfArM BEZVO ASK #06225,add_name_mapping,,,,,,,
Blutgerinnungsfaktor VIII (human),1,B02BD02,Blutgerinnungsfaktor VIII,,,,8625,9001-27-8,Blutgerinnungsfaktor Ⅷ,NLM MeSH,add_missing_cas_code,,,,,,,
Blutgerinnungsfaktor VIII (human),2,B02BD06,Von Willebrand-Faktor und Blutgerinnungsfaktor VIII in Kombination,,,,8625,9001-27-8,Blutgerinnungsfaktor Ⅷ,NLM MeSH,add_missing_cas_code,,,,,,,
Blutgerinnungsfaktor XIII (human),1,B02BD07,Blutgerinnungsfaktor XIII,,,,18296,9013-56-3,Blutgerinnungsfaktor ⅩⅢ,BfArM BEZVO ASK #18296,add_name_mapping,,,,,,,
"Brimonidin(R,R)-tartrat",1,S01EA05,Brimonidin,,,,26936,70359-46-5,Brimonidintartrat,BfArM BEZVO ASK #26936,add_name_mapping,,,,,,,
Bromhexin hydrochlorid,1,R05CB02,Bromhexin,,,,2267,611-75-6,Bromhexinhydrochlorid,BfArM BEZVO ASK #02267,add_name_mapping,,,,,,,
Bupivacain hydrochlorid,1,N01BB01,Bupivacain,,,,7105,18010-40-7,Bupivacainhydrochlorid,BfArM BEZVO ASK #07105,add_name_mapping,,,,,,,
Bupivacain hydrochlorid-1-Wasser,1,N01BB01,Bupivacain,,,,22131,73360-54-0,Bupivacainhydrochlorid (Ph.Eur.),BfArM BEZVO ASK #22131,add_name_mapping,,,,,,,
Bupivacain hydrochlorid-1-Wasser,1,N01BB51,"Bupivacain, Kombinationen",,,,22131,73360-54-0,Bupivacainhydrochlorid (Ph.Eur.),BfArM BEZVO ASK #22131,add_name_mapping,,,,,,,
Bupropion hydrochlorid,1,N06AX12,Bupropion,,,,22345,31677-93-7,Bupropionhydrochlorid,BfArM BEZVO ASK #22345,add_name_mapping,,,,,,,
"C1-Esterase-Inhibitor, human",1,B06AC01,"C1-Inhibitor, aus Plasma gewonnen",,,,33715,80295-38-1,"C1-Inhibitor, aus Plasma gewonnen",BfArM BEZVO ASK #33715,check_mapping_or_join,,,,,,,
Cafedrin hydrochlorid,1,C01CA30,Kombinationen,,,,5829,3039-97-2,Cafedrinhydrochlorid,BfArM BEZVO ASK #05829,add_name_mapping,,,,,,,
Calcium-Ion,1,A12AA04,Calciumcarbonat,,,,1308,14127-61-8,Calcium-Ion,BfArM BEZVO ASK #01308,check_mapping_or_join,,,,,,,
Calcium-Ion,1,A12AA20,Calcium (verschiedene Salze in Kombination),,,,1308,14127-61-8,Calcium-Ion,BfArM BEZVO ASK #01308,check_mapping_or_join,,,,,,,
Calcium-Ion,1,A12AX01,Calciumcarbonat und Colecalciferol,,,,1308,14127-61-8,Calcium-Ion,BfArM BEZVO ASK #01308,check_mapping_or_join,,,,,,,
Calcium-Ion,1,B05XA07,Calciumchlorid,,,,1308,14127-61-8,Calcium-Ion,BfArM BEZVO ASK #01308,check_mapping_or_join,,,,,,,
Calciumchlorid-2-Wasser,3,B05BB12,Ringerloesung,,,,59,10035-04-8,Calciumchlorid-Dihydrat,BfArM BEZVO ASK #00059,add_name_mapping,,,,,,,
Calciumchlorid-2-Wasser,1,B05XA07,Calciumchlorid,,,,59,10035-04-8,Calciumchlorid-Dihydrat,BfArM BEZVO ASK #00059,add_name_mapping,,,,,,,
Calciumsalz-1-Wasser,2,A12AA20,Calcium (verschiedene Salze in Kombination),,,,60,,,BfArM BEZVO ASK #00060,wrong_split_dwh,Wrong split; position 2 should be Calcium dilactate pentahydrate.,,,,,,
Candesartan cilexetil,1,C09CA06,Candesartan,,,,27048,145040-37-5,Candesartancilexetil,BfArM BEZVO ASK #27048,add_name_mapping,,,,,,,
Carbomer 980,1,S01XC07,Carbomer,,,,13346,9007-20-9,Carbomer ((ohne Angaben zum Typ)),BfArM BEZVO ASK #13346,add_name_mapping,,,,,,,
Cetirizin dihydrochlorid,1,R01BA60,Pseudoephedrin und Cetirizin,,,,22788,83881-52-1,Cetirizindihydrochlorid,BfArM BEZVO ASK #22788,add_name_mapping,,,,,,,
Cetirizin dihydrochlorid,1,R06AE07,Cetirizin,,,,22788,83881-52-1,Cetirizindihydrochlorid,BfArM BEZVO ASK #22788,add_name_mapping,,,,,,,
Cetylpyridinium chlorid,2,R02AA56,"Cetylpyridinium, Kombinationen",,,,733,123-03-5,Cetylpyridiniumchlorid,BfArM BEZVO ASK #00733,add_name_mapping,,,,,,,
Cetylpyridinium chlorid,2,R02AX03,Benzydamin,,,,733,123-03-5,Cetylpyridiniumchlorid,BfArM BEZVO ASK #00733,add_name_mapping,,,,,,,
Cetylpyridinium chlorid-1-Wasser,1,R02AA56,"Cetylpyridinium, Kombinationen",,,,15304,6004-24-6,Cetylpyridiniumchlorid (Ph.Eur.),BfArM BEZVO ASK #15304,add_name_mapping,,,,,,,
Cetylpyridinium-Kation,2,R02AA20,Verschiedene,,,,36215,7773-52-6,Cetylpyridinium,BfArM BEZVO ASK #36215,add_name_mapping,,,,,,,
Chinin hemisulfat-2-Wasser,1,M09AA02,Chinin,,,,75,6119-70-6,Chininsulfat (Ph.Eur.),BfArM BEZVO ASK #00075,add_name_mapping,,,,,,,
Chinolin-8-ol sulfat-1-Wasser,1,D07BA01,Prednisolon und Antiseptika,,,,43564,207386-91-2,Chinolin-8-ol-hemisulfat-Hemihydrat,BfArM BEZVO ASK #43564,check_mapping_or_join,,,,,,,
Chlorhexidin digluconat,1,A01AB03,Chlorhexidin,,,,4898,18472-51-0,Chlorhexidinbis(ᴅ-gluconat),BfArM BEZVO ASK #04898,add_name_mapping,,,,,,,
Chloroquin phosphat,1,P01BA01,Chloroquin,,,,6547,50-63-5,Chloroquinphosphat (Ph.Eur.),BfArM BEZVO ASK #06547,add_name_mapping,,,,,,,
Chlorprothixen hydrochlorid,1,N05AF03,Chlorprothixen,,,,6910,6469-93-8,Chlorprothixenhydrochlorid,BfArM BEZVO ASK #06910,add_name_mapping,,,,,,,
"Ciclosporin, mikroemulgiert",1,L04AD01,Ciclosporin,,,,22510,59865-13-3,Ciclosporin,BfArM BEZVO ASK #22510,add_name_mapping,,,,,,,
Cinchocain hydrochlorid,1,C05AD04,Cinchocain,,,,2813,61-12-1,Cinchocainhydrochlorid,BfArM BEZVO ASK #02813,add_name_mapping,,,,,,,
Cisatracurium-Kation,1,M03AC11,Cisatracurium,,,,37589,96946-41-7,Cisatracurium,BfArM BEZVO ASK #37589,add_name_mapping,,,,,,,
Citrat-Trianion,2,A12BA30,Kalium (verschiedene Salze in Kombination),,,,18014,126-44-3,Citrat,BfArM BEZVO ASK #18014,check_mapping_or_join,,,,,,,
Clobetasol 17-propionat,1,D07AD01,Clobetasol,,,,11901,25122-46-7,Clobetasolpropionat (Ph.Eur.),BfArM BEZVO ASK #11901,check_mapping_or_join,,,,,,,
Clomethiazol edisilat,1,N05CM02,Clomethiazol,,,,6968,1867-58-9,Clomethiazolhemiedisilat,BfArM BEZVO ASK #06968,add_name_mapping,,,,,,,
Clonidin hydrochlorid,1,C02AC01,Clonidin,,,,4866,4205-91-8,Clonidinhydrochlorid,BfArM BEZVO ASK #04866,add_name_mapping,,,,,,,
Clonidin hydrochlorid,1,N07BB11,Clonidin,,,,4866,4205-91-8,Clonidinhydrochlorid,BfArM BEZVO ASK #04866,add_name_mapping,,,,,,,
Clonidin hydrochlorid,1,S01EA04,Clonidin,,,,4866,4205-91-8,Clonidinhydrochlorid,BfArM BEZVO ASK #04866,add_name_mapping,,,,,,,
Clostridium botulinum (Onabotulinum) Toxin Typ A,1,M03AX21,Botulinumtoxin Typ A,,,,26170,93384-43-1,Botulinum-Toxin Typ A zur Injektion (Ph.Eur.),BfArM BEZVO ASK #26170,add_name_mapping,,,,,,,
Co-trimoxazol,1,J01EE01,Sulfamethoxazol und Trimethoprim,,,,,,,BfArM BEZVO ASK #02895; BfArM BEZVO ASK #02894,dirty_ingredient_text,Combination name; individual ingredients are Sulfamethoxazol and Trimethoprim.,combination_not_expanded,Sulfamethoxazol; Trimethoprim,1; 2,2895; 2894,723-46-6; 738-70-5,Sulfamethoxazol; Trimethoprim
"Codein phosphat-0,5-Wasser",1,R05DA04,Codein,,,,87,41444-62-6,Codeinphosphat-Hemihydrat,BfArM BEZVO ASK #00087,add_name_mapping,,,,,,,
Coffein citrat,1,N06BC01,Coffein,,,,879,69-22-7,Coffein-Citronensäure-Gemisch (1:1),BfArM BEZVO ASK #00879,add_name_mapping,,,,,,,
Colestyramin,1,C10AC01,Colestyramin,,,,4629,11041-12-6,"Colestyramin ((mit Zusatz einer Zahl, die durch 10 geteilt, den ungefähren Prozent-Gehalt an Diethenylbenzol angibt))",BfArM BEZVO ASK #04629,add_name_mapping,,,,,,,
"Cromoglicinsäure, Dinatriumsalz",1,S01GX01,Cromoglicinsaeure,,,,21625,15826-37-6,Natriumcromoglicat (Ph.Eur.),BfArM BEZVO ASK #21625,add_name_mapping,,,,,,,
Cyanacrylsäurealkylester,1,V03AK01,Cyanacrylsaeurealkylester,,,,,,,,not_mappable_general_category,General alkyl cyanoacrylate category; no single ASK/CAS applies.,,,,,,
Cyclopentolat hydrochlorid,1,S01FA04,Cyclopentolat,,,,6937,5870-29-1,Cyclopentolathydrochlorid,BfArM BEZVO ASK #06937,add_name_mapping,,,,,,,
Cyproheptadin hydrochlorid,1,R06AX02,Cyproheptadin,,,,7244,969-33-5,Cyproheptadinhydrochlorid,BfArM BEZVO ASK #07244,add_name_mapping,,,,,,,
Cytomegalie-Immunglobulin vom Menschen,1,J06BB09,Cytomegalievirus-Immunglobulin,,,,,339086-15-6,Human cytomegalovirus immune globulin,NCATS GSRS (UNII 129L90A25N),add_new_substance,,,,,,,
D-Gluconsäure,1,A12AA20,Calcium (verschiedene Salze in Kombination),,,,,,,,wrong_split_dwh,Wrong split; position 1 should be calcium gluconate monohydrate.,,,,,,
"D-Gluconsäure, Calciumsalz-1-Wasser",1,B05XA19,Calciumgluconat,,,,60,66905-23-5,Calciumgluconat-Monohydrat,BfArM BEZVO ASK #00060,add_name_mapping,,,,,,,
DL-a-Tocopherol acetat,2,R01AX30,Kombinationen,,,,328,52225-20-4,all-rac-α-Tocopherolacetat (Ph.Eur.),BfArM BEZVO ASK #00328,add_name_mapping,,,,,,,
Dabigatran etexilat,1,B01AE07,Dabigatranetexilat,,,,30260,211915-06-9,Dabigatranetexilat,BfArM BEZVO ASK #30260,add_name_mapping,,,,,,,
Danaparoid natrium,1,B01AB09,Danaparoid,,,,29861,308068-55-5,Danaparoid-Natrium ((MW: ca. 5500 Da)),NCATS GSRS (UNII BI6GY4U9CW),add_missing_cas_code,,,,,,,
"Dantrolen natrium-3,5-Wasser",1,M03CA01,Dantrolen,,,,12534,24868-20-0,"Dantrolen-Natrium-3,5-Hydrat",BfArM BEZVO ASK #12534,add_name_mapping,,,,,,,
Deferoxamin mesilat,1,V03AC01,Deferoxamin,,,,7166,138-14-7,Deferoxaminmesilat,BfArM BEZVO ASK #07166,add_name_mapping,,,,,,,
Dequalinium chlorid,1,G01AC05,Dequalinium,,,,975,522-51-0,Dequaliniumchlorid,BfArM BEZVO ASK #00975,add_name_mapping,,,,,,,
Dequalinium chlorid,3,R02AA20,Verschiedene,,,,975,522-51-0,Dequaliniumchlorid,BfArM BEZVO ASK #00975,add_name_mapping,,,,,,,
Desmopressin acetat-3-Wasser,1,H01BA02,Desmopressin,,,,23270,62357-86-2,Desmopressinacetat-Trihydrat,BfArM BEZVO ASK #23270,add_name_mapping,,,,,,,
Desmopressin-x-acetat-y-Wasser,1,H01BA02,Desmopressin,,,,11869,,Desmopressin (Ph.Eur.),BfArM BEZVO ASK #11869,add_name_mapping,No single CAS is assigned because the acetate and water stoichiometry is variable. ,,,,,,
"Dexamethason 21-(3-sulfobenzoat), Natriumsalz",1,S01BA01,Dexamethason,,,,1196,3936-02-5,Dexamethason-21-(3-sulfobenzoat)-Natrium,BfArM BEZVO ASK #01196,add_name_mapping,,,,,,,
Dexamethason 21-dihydrogenphosphat,1,H02AB02,Dexamethason,,,,10694,312-93-6,Dexamethason-21-dihydrogenphosphat,BfArM BEZVO ASK #10694,check_mapping_or_join,,,,,,,
Dexamethason 21-palmitat,1,H02AB02,Dexamethason,,,,3505,14899-36-6,Dexamethason-21-palmitat,PubChem CID 63044,add_missing_cas_code,,,,,,,
Dexamethason dihydrogenphosphat-Dinatrium,1,S01BA01,Dexamethason,,,,2114,2392-39-4,Dexamethasondihydrogenphosphat-Dinatrium (Ph.Eur.),BfArM BEZVO ASK #02114,add_name_mapping,,,,,,,
Diclofenac natrium-Dosieräquivalent,1,M01AB05,Diclofenac,,,,11900,15307-79-6,Diclofenac-Natrium,BfArM BEZVO ASK #11900,dirty_ingredient_text,The suffix “-Dosieräquivalent” is a dosage qualifier and not part of the chemical substance name.,qualifier_appended,Diclofenac-Natrium,1,,,
Dihydralazin mesilat,1,C02DB01,Dihydralazin,,,,11406,69467-96-5,Dihydralazinmesilat,BfArM BEZVO ASK #11406,add_name_mapping,,,,,,,
Dihydralazin sulfat,1,C02DB01,Dihydralazin,,,,6151,7327-87-9,Dihydralazinsulfat,BfArM BEZVO ASK #06151,add_name_mapping,,,,,,,
Dimetinden maleat,1,D04AA13,Dimetinden,,,,3817,3614-69-5,Dimetindenmaleat,BfArM BEZVO ASK #03817,add_name_mapping,,,,,,,
Dimetinden maleat,1,R06AB03,Dimetinden,,,,3817,3614-69-5,Dimetindenmaleat,BfArM BEZVO ASK #03817,add_name_mapping,,,,,,,
Dinatriumhydrogenphosphat-2-Wasser,2,G04BC50,"Andere Harnkonkrement loesende Mittel, Kombinationen",,,,12711,10028-24-7,Natriummonohydrogenphosphat-Dihydrat (Ph.Eur.),BfArM BEZVO ASK #12711,add_name_mapping,,,,,,,
Dinatriumthiosulfat-5-Wasser,1,V03AB06,Thiosulfat,,,,224,10102-17-7,Natriumthiosulfat (Ph.Eur.),BfArM BEZVO ASK #00224,add_name_mapping,,,,,,,
Diphtherie-Adsorbat-Impfstoff,1,J07AJ52,"Pertussis, gereinigtes Antigen, Kombinationen mit Toxoiden",,,,,,,,not_mappable_general_category,No ASK/CAS for the individual diphtheria component; CAS 681272-92-4 belongs to the combination vaccine.,,,,,,
Diphtherie-Adsorbat-Impfstoff,1,J07AM51,"Tetanus-Toxoid, Kombinationen mit Diphtherie-Toxoid",,,,,,,,not_mappable_general_category,No ASK or reliable CAS found for this exact diphtheria-tetanus vaccine component.,,,,,,
Distigmin bromid,1,N07AA03,Distigmin,,,,4776,15876-67-2,Distigminbromid,BfArM BEZVO ASK #04776,add_name_mapping,,,,,,,
Dodecyl(sulfoacetat),2,A06AG11,"Natriumlaurylsulfoacetat, inkl. Kombinationen",,,,,,,,wrong_split_dwh,DWH split the sodium salt name at the comma.,,,,,,
Donepezil hydrochlorid,1,N06DA02,Donepezil,,,,27637,142057-77-0,Donepezilhydrochlorid,BfArM BEZVO ASK #27637,add_name_mapping,,,,,,,
Dopamin hydrochlorid,1,C01CA04,Dopamin,,,,10620,62-31-7,Dopaminhydrochlorid,BfArM BEZVO ASK #10620,add_name_mapping,,,,,,,
Doxapram hydrochlorid,1,R07AB01,Doxapram,,,,8602,7081-53-0,Doxapramhydrochlorid (Ph.Eur.),BfArM BEZVO ASK #08602,add_name_mapping,,,,,,,
Doxepin,1,N06AA12,Doxepin,,Doxepin,764,764,1668-19-5,Doxepin,BfArM BEZVO ASK #00764; PubChem CID 3158,add_missing_cas_code,,,,,,,
